2021-07-16 17:07:46.013 30561-30561/? I/.HappySingapor: Late-enabling -Xcheck:jni
2021-07-16 17:07:46.026 30561-30561/? I/.HappySingapor: Unquickening 22 vdex files!
2021-07-16 17:07:46.026 30561-30561/? E/.HappySingapor: Unknown bits set in runtime_flags: 0x40000000
2021-07-16 17:07:46.038 30561-30561/? E/RefClass: java.lang.reflect.InvocationTargetException
2021-07-16 17:07:46.038 30561-30561/? I/OneTrace: Mark active for pid=30561? true
2021-07-16 17:07:46.064 30561-30561/? V/studio.deploy: Startup agent attached to VM
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->blockerLock:Ljava/lang/Object; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->init(Ljava/lang/ThreadGroup;Ljava/lang/Runnable;Ljava/lang/String;J)V (greylist-max-o, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->stillborn:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->systemDaemon:Z (blacklist, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->started:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->blockerLock:Ljava/lang/Object; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->nextThreadNum()I (greylist-max-o, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->stillborn:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->systemDaemon:Z (blacklist, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->started:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->blockerLock:Ljava/lang/Object; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->init(Ljava/lang/ThreadGroup;Ljava/lang/Runnable;Ljava/lang/String;J)V (greylist-max-o, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->stillborn:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->systemDaemon:Z (blacklist, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->started:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->blockerLock:Ljava/lang/Object; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->init(Ljava/lang/ThreadGroup;Ljava/lang/Runnable;Ljava/lang/String;J)V (greylist-max-o, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->stillborn:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->systemDaemon:Z (blacklist, linking, denied)
2021-07-16 17:07:46.116 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->started:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->blockerLock:Ljava/lang/Object; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->init(Ljava/lang/ThreadGroup;Ljava/lang/Runnable;Ljava/lang/String;J)V (greylist-max-o, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;-><init>(Ljava/lang/ThreadGroup;Ljava/lang/String;IZ)V (greylist, linking, allowed)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->stillborn:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->systemDaemon:Z (blacklist, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->started:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->blockerLock:Ljava/lang/Object; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->group:Ljava/lang/ThreadGroup; (greylist, linking, allowed)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/ThreadGroup;->addUnstarted()V (greylist-max-o, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->auditSubclass(Ljava/lang/Class;)Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread$1;-><init>(Ljava/lang/Class;)V (blacklist, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->exit()V (greylist-max-o, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/ThreadGroup;->threadTerminated(Ljava/lang/Thread;)V (greylist, linking, allowed)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->target:Ljava/lang/Runnable; (greylist, linking, allowed)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->inheritedAccessControlContext:Ljava/security/AccessControlContext; (greylist, linking, allowed)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->blocker:Lsun/nio/ch/Interruptible; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->uncaughtExceptionHandler:Ljava/lang/Thread$UncaughtExceptionHandler; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/ThreadGroup;->systemThreadGroup:Ljava/lang/ThreadGroup; (greylist, linking, allowed)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->defaultUncaughtExceptionHandler:Ljava/lang/Thread$UncaughtExceptionHandler; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.117 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->getUncaughtExceptionPreHandler()Ljava/lang/Thread$UncaughtExceptionHandler; (greylist,core-platform-api, linking, allowed)
